,token_text,lemma,pos,ref,char_start,char_end,id,sent_idx,sent_len,page,textblock,tag,blocktype,positions
2013596,",",",",PUNCT,"{'blocktype': 'text', 'page': array([76]), 'tag': '', 'textblock': array([1])}",89,90,100088,527,224,[76],[1],,text,"[{'coordinates': {'upper_left_x': 0.1883697509765625, 'upper_left_y': 0.12598573227109933, 'lower_right_x': 0.7902064732142857, 'lower_right_y': 0.13168643942354977}, 'text': 'mandibularum luciorum, Schaenantos, ele', 'tag': 'text', 'page': 76}]"
853423,est,sum,AUX,"{'blocktype': 'text', 'page': array([240]), 'tag': '', 'textblock': array([20])}",7,10,100012,2532,83,[240],[20],,text,"[{'coordinates': {'upper_left_x': 0.07734219497224422, 'upper_left_y': 0.6920254782253517, 'lower_right_x': 0.7052260997683503, 'lower_right_y': 0.7024713666069533}, 'text': 'stillentur. Utilis est calculosis, qua', 'tag': 'text', 'page': 240}]"
4737320,olim,olim,ADV,"{'blocktype': 'text', 'page': array([80]), 'tag': '', 'textblock': array([29])}",63,67,100063,1039,75,[80],[29],,text,"[{'coordinates': {'upper_left_x': 0.32026890345982145, 'upper_left_y': 0.5880569856693513, 'lower_right_x': 0.8962314124868698, 'lower_right_y': 0.5939002320205797}, 'text': 'coronati sunt olim poetae. Laurum uerae ', 'tag': 'text', 'page': 80}]"
3451071,aliquibus,aliquis,DET,"{'blocktype': 'text', 'page': array([348]), 'tag': '', 'textblock': array([11])}",93,102,100004,12747,135,[348],[11],,text,"[{'coordinates': {'upper_left_x': 0.2307477881063487, 'upper_left_y': 0.24067711856778107, 'lower_right_x': 0.9729688815388412, 'lower_right_y': 0.24205141547005934}, 'text': 'te omnia, ne apud principes uel potentes intromittas te de aliquibus opera', 'tag': 'text', 'page': 348}]"
3050123,correctum,correctus,VERB,"{'blocktype': 'text', 'page': array([252]), 'tag': '', 'textblock': array([8])}",81,90,100065,4717,115,[252],[8],,text,"[{'coordinates': {'upper_left_x': 0.27374508189779073, 'upper_left_y': 0.26910234586460385, 'lower_right_x': 0.9783845718524146, 'lower_right_y': 0.27288186381182333}, 'text': 'tabilem, esse correctum eius spiritum ', 'tag': 'text', 'page': 252}]"
859940,fabarum,faba,NOUN,"{'blocktype': 'text', 'page': array([283]), 'tag': '', 'textblock': array([11])}",18,25,100012,3045,62,[283],[11],,text,"[{'coordinates': {'upper_left_x': 0.2822591331710055, 'upper_left_y': 0.40565604110685377, 'lower_right_x': 0.923878210327554, 'lower_right_y': 0.41610189709187567}, 'text': 'floribus fabarum, rosaceae, utriusque un', 'tag': 'text', 'page': 283}]"
1925093,ignem,ignis,NOUN,"{'blocktype': 'text', 'page': array([357]), 'tag': '', 'textblock': array([23])}",10,15,100070,12189,122,[357],[23],,text,"[{'coordinates': {'upper_left_x': 0.036923077398922734, 'upper_left_y': 0.5874960797014726, 'lower_right_x': 0.707155731264618, 'lower_right_y': 0.5949610684930259}, 'text': 'successiue quousque sit solutum. Acetum ad ignem diuapora, & restabit o', 'tag': 'text', 'page': 357}]"
896077,tradiderunt,trado,VERB,"{'blocktype': 'text', 'page': array([518]), 'tag': '', 'textblock': array([2, 3])}",75,86,100012,5579,87,[518],[2 3],,text,"[{'coordinates': {'upper_left_x': 0.05102989919161876, 'upper_left_y': 0.1467516467829419, 'lower_right_x': 0.704019996414945, 'lower_right_y': 0.15694271986651573}, 'text': 'dam, qui huius morbi curationem tradide', 'tag': 'text', 'page': 518}, {'coordinates': {'upper_left_x': 0.0502325577593325, 'upper_left_y': 0.17579621721984476, 'lower_right_x': 0.7124813244588352, 'lower_right_y': 0.1859872903034186}, 'text': 'runt. Tussilaginis folia sicca suffita, ita ', 'tag': 'text', 'page': 518}]"
1148243,diuersitatem,diuersitas,NOUN,"{'blocktype': 'text', 'page': array([127]), 'tag': '', 'textblock': array([55])}",79,91,100085,9097,218,[127],[55],,text,"[{'coordinates': {'upper_left_x': 0.06636986013961164, 'upper_left_y': 0.7461972150284519, 'lower_right_x': 0.8346645930042006, 'lower_right_y': 0.7474044707699321}, 'text': 'Antequam pergamus ad caeteros aeris furnos, admonendus lector est, ut attendat diuersitatem praece', 'tag': 'text', 'page': 127}]"
1294924,putrefactione,putrefactio,NOUN,"{'blocktype': 'text', 'page': array([279]), 'tag': '', 'textblock': array([19])}",33,46,100085,18705,112,[279],[19],,text,"[{'coordinates': {'upper_left_x': 0.0655319132703416, 'upper_left_y': 0.3072891848154336, 'lower_right_x': 0.8621219607955175, 'lower_right_y': 0.3084939857084588}, 'text': 'diis Chymici de sua putrefactione solent loqui, eamque determinare & circumscribere finibus certis. ', 'tag': 'text', 'page': 279}]"
