,token,pdf_page,pdf_page_textblock,positions
709347,.,[150],[22],"[{'coordinates': {'upper_left_x': 0.34186334392792445, 'upper_left_y': 0.4059310482587187, 'lower_right_x': 0.9576501945037525, 'lower_right_y': 0.41364266805140576}, 'text': 'Empyreumata gustus conueniunt cum correctione in odoratu. Valdè\n', 'tag': 'text'}]"
2307363,&,[146],[9],"[{'coordinates': {'upper_left_x': 0.24282352223115808, 'upper_left_y': 0.30273629594019075, 'lower_right_x': 0.8831184964220063, 'lower_right_y': 0.30857954229141926}, 'text': 'minis, & Penolei participes, cerae lentore, & vsu\n', 'tag': 'text'}]"
2844489,non,[85],[27],"[{'coordinates': {'upper_left_x': 0.059166669845581055, 'upper_left_y': 0.7908534542949879, 'lower_right_x': 0.7679201232062446, 'lower_right_y': 0.7934299045138888}, 'text': 'licet qui sese in vnitatem, non temerè redu¬\n', 'tag': 'text'}]"
3135007,lentum,[474],[17 18],"[{'coordinates': {'upper_left_x': 0.2624116069278388, 'upper_left_y': 0.4821052551269531, 'lower_right_x': 0.944729484219175, 'lower_right_y': 0.4847368608441269}, 'text': 'tae super infundatur aqua destillata, ac ad len¬\n', 'tag': 'text'}, {'coordinates': {'upper_left_x': 0.26763373726838735, 'upper_left_y': 0.5077631431713439, 'lower_right_x': 0.940389624532525, 'lower_right_y': 0.5103947488885177}, 'text': 'tum ignem in vaporem aqua soluatur denuò,\n', 'tag': 'text'}]"
805225,naturam,[365],[37],"[{'coordinates': {'upper_left_x': 0.05044897819051937, 'upper_left_y': 0.8248736638918682, 'lower_right_x': 0.7015122394172513, 'lower_right_y': 0.8325491442509263}, 'text': 'blimationem extractus, & in spiritualem naturam conuersus. Elaboratur\n', 'tag': 'text'}]"
542371,ii,[104],[28],"[{'coordinates': {'upper_left_x': 0.3320141310405394, 'upper_left_y': 0.7967320527386301, 'lower_right_x': 1.0029169628561174, 'lower_right_y': 0.7993463919313385}, 'text': 'mito huius aquae [S]y[/S]. ij. alternis tantùm diebus\n', 'tag': 'text'}]"
2884858,",",[283],[2],"[{'coordinates': {'upper_left_x': 0.08541666799121433, 'upper_left_y': 0.1393880961853781, 'lower_right_x': 0.7964843644036187, 'lower_right_y': 0.14196457916603764}, 'text': 'TI. Miraberis opinor, si causam aduentu\n', 'tag': 'text'}]"
791134,spiritum,[333],[14],"[{'coordinates': {'upper_left_x': 0.049079754601226995, 'upper_left_y': 0.3542519386967827, 'lower_right_x': 0.7033060460002876, 'lower_right_y': 0.3619035688195592}, 'text': 'in balneo: oleositas in fundo est, cui affunde vini spiritum bonum. Digere\n', 'tag': 'text'}]"
3026527,obligetur,[24],[2 3],"[{'coordinates': {'upper_left_x': 0.3549579780642726, 'upper_left_y': 0.20380048230821332, 'lower_right_x': 0.8454439563911502, 'lower_right_y': 0.20950119852170243}, 'text': 'F. linimentum quod rursus oblige¬\n', 'tag': 'text'}, {'coordinates': {'upper_left_x': 0.1996638706752232, 'upper_left_y': 0.23632301457420948, 'lower_right_x': 0.848194692916229, 'lower_right_y': 0.2421662428033607}, 'text': 'tur emplastro Olympico. Atque semper an¬\n', 'tag': 'text'}]"
2563643,nocere,[73],[23],"[{'coordinates': {'upper_left_x': 0.06937814920890231, 'upper_left_y': 0.7522374966365425, 'lower_right_x': 0.8399095038405987, 'lower_right_y': 0.7580807067436164}, 'text': 'sed pharmaca per me exhibita nocere non poterant: nam manibus\n', 'tag': 'text'}]"
995377,attribui,[652],[18],"[{'coordinates': {'upper_left_x': 0.25317646101409313, 'upper_left_y': 0.5197377498963213, 'lower_right_x': 0.9676672443065768, 'lower_right_y': 0.5235784859698234}, 'text': 'doneum attribui. Quantum autem mysterij\n', 'tag': 'text'}]"
1996738,noua,[6],[6],"[{'coordinates': {'upper_left_x': 0.20490755994780724, 'upper_left_y': 0.28705932182257643, 'lower_right_x': 0.9296800116530988, 'lower_right_y': 0.29290255005172766}, 'text': 'noldi de noua uilla Rosarium à me confectae prae¬\n', 'tag': 'text'}]"
945018,.,[416],[13],"[{'coordinates': {'upper_left_x': 0.24217617449982795, 'upper_left_y': 0.39106221052720547, 'lower_right_x': 0.9522852922350632, 'lower_right_y': 0.39483875481750347}, 'text': 'dans ad tingendum oleum. Diuide igitur\n', 'tag': 'text'}]"
475897,sententiae,[153],[21],"[{'coordinates': {'upper_left_x': 0.13915966899455096, 'upper_left_y': 0.7767505781667533, 'lower_right_x': 0.8175118069688813, 'lower_right_y': 0.7825937882738272}, 'text': 'nonne prorsus sententiae tuae contrariatur,\n', 'tag': 'text'}]"
